Date,Close,High,Low,Open,Volume
2023-11-01,171.8,172.05,167.99,168.86,56934900
2023-11-02,175.35,175.56,173.27,173.33,77334800
2023-11-03,174.44,174.61,171.18,172.06,79829200
2023-11-06,176.99,177.19,174.01,174.18,63841300
2023-11-07,179.55,180.16,176.73,176.94,70530000
2023-11-08,180.61,181.16,179.32,180.07,49340300
2023-11-09,180.13,181.82,179.54,180.67,53763500
2023-11-10,184.31,184.48,181.48,181.91,66133400
2023-11-13,182.73,183.95,182.15,183.74,43627500
2023-11-14,185.34,186.0,184.21,185.6,60108400
2023-11-15,185.91,187.38,185.68,185.75,53790500
2023-11-16,187.59,188.82,186.54,187.45,54412900
2023-11-17,187.57,188.25,186.46,188.12,50922700
2023-11-20,189.31,189.76,187.75,187.76,46505100
2023-11-21,188.51,189.38,187.62,189.27,38134500
2023-11-22,189.17,190.77,188.69,189.35,39617700
2023-11-24,187.84,188.76,187.13,188.73,24048300
2023-11-27,187.67,188.54,186.79,187.79,40552600
2023-11-28,188.27,188.94,187.28,187.66,38415400
2023-11-29,187.25,189.94,186.85,188.76,43014200
2023-11-30,187.82,188.19,186.08,187.72,48794400
2023-12-01,189.1,189.42,187.11,188.2,45704800
2023-12-04,187.31,187.92,185.35,187.85,43389500
2023-12-05,191.26,192.22,188.05,188.08,66628400
2023-12-06,190.17,192.58,189.96,192.27,41089700
2023-12-07,192.1,192.82,191.42,191.46,47477700
2023-12-08,193.52,193.8,191.5,192.03,53406400
2023-12-11,191.02,191.32,189.28,190.95,60943700
2023-12-12,192.53,192.54,189.57,190.92,52696900
2023-12-13,195.74,195.78,192.67,192.91,70404200
2023-12-14,195.89,197.39,193.96,195.8,66831600
2023-12-15,195.36,196.18,194.8,195.32,128538400
2023-12-18,193.7,194.43,192.21,193.9,55751900
2023-12-19,194.74,194.75,193.7,193.96,40714100
2023-12-20,192.65,195.47,192.65,194.7,52242800
2023-12-21,192.5,194.87,191.33,193.91,46482500
2023-12-22,191.43,193.22,190.81,193.0,37149600
2023-12-26,190.89,191.72,190.67,191.44,28919300
2023-12-27,190.99,191.33,188.95,190.34,48087700
2023-12-28,191.41,192.48,191.01,191.97,34049900
2023-12-29,190.38,192.22,189.58,191.73,42672100
2024-01-02,183.56,186.33,181.83,185.06,82488700
2024-01-03,182.19,183.8,181.38,182.16,58414500
2024-01-04,179.87,181.04,178.86,180.11,71983600
2024-01-05,179.15,180.71,178.15,179.95,62379700
2024-01-08,183.48,183.52,179.47,180.05,59144500
2024-01-09,183.07,183.08,180.68,181.86,42841800
2024-01-10,184.11,184.31,181.86,182.29,46792900
2024-01-11,183.51,184.96,181.56,184.45,49128400
2024-01-12,183.84,184.65,183.12,183.98,40477800
2024-01-16,181.57,182.2,178.9,180.12,65603000
2024-01-17,180.64,180.88,178.28,179.24,47317400
2024-01-18,186.52,187.02,183.75,184.01,78005800
2024-01-19,189.42,189.8,186.71,187.21,68903000
2024-01-22,191.72,193.14,190.11,190.15,60133900
2024-01-23,193.0,193.56,191.66,192.84,42355600
2024-01-24,192.32,194.18,192.16,193.23,53631300
2024-01-25,192.0,194.07,190.95,193.03,54822100
2024-01-26,190.27,192.58,189.79,192.1,44594000
2024-01-29,189.58,190.05,187.46,189.86,47145600
2024-01-30,185.94,189.65,185.37,188.8,55859400
2024-01-31,182.34,185.01,182.29,184.95,55467800
2024-02-01,184.77,184.86,181.76,181.93,64885400
2024-02-02,183.77,185.23,177.24,177.85,102551700
2024-02-05,185.58,187.13,183.76,186.04,69668800
2024-02-06,187.18,187.19,184.68,184.77,43490800
2024-02-07,187.29,188.91,186.5,188.51,53439000
2024-02-08,186.21,187.42,185.25,187.27,40962000
2024-02-09,186.97,188.1,186.13,186.78,45155200
2024-02-12,185.29,186.8,184.93,186.55,41781900
2024-02-13,183.2,184.36,181.69,183.93,56529500
2024-02-14,182.32,183.69,180.63,183.48,54630500
2024-02-15,182.03,182.66,179.55,181.73,65434500
2024-02-16,180.5,183.01,179.87,181.6,49752500
2024-02-20,179.76,180.62,178.21,179.98,53665600
2024-02-21,180.51,181.07,178.87,180.13,41371400
2024-02-22,182.54,183.12,180.65,181.66,52292200
2024-02-23,180.71,183.2,180.42,183.17,45119700
2024-02-26,179.36,180.95,178.86,180.43,40867400
2024-02-27,180.82,182.09,177.78,179.3,54318900
2024-02-28,179.62,181.3,178.34,180.7,48953900
2024-02-29,178.95,180.76,177.75,179.47,136682600
2024-03-01,177.88,178.74,175.62,177.77,73563100
2024-03-04,173.36,175.14,172.06,174.4,81510100
2024-03-05,168.43,170.33,167.94,169.06,95132400
2024-03-06,167.44,169.54,167.0,169.36,68587700
2024-03-07,167.32,169.03,166.82,167.47,71765100
