Date,Close,High,Low,Open,Volume
2024-04-19,392.24,398.49,390.91,397.06,30565800
2024-04-22,394.05,395.9,388.93,393.18,20286900
2024-04-23,400.54,401.16,396.11,397.27,15734500
2024-04-24,402.01,405.36,399.76,402.5,15065300
2024-04-25,392.16,392.99,381.34,387.23,40586500
2024-04-26,399.31,405.88,398.76,405.06,29694700
2024-04-29,395.31,399.31,392.31,398.26,19582100
2024-04-30,382.62,395.22,382.46,394.57,28781400
2024-05-01,388.13,394.79,383.58,385.84,23562500
2024-05-02,390.98,393.03,387.84,390.8,17709400
2024-05-03,399.65,400.13,394.93,395.34,17446700
2024-05-06,406.41,406.79,399.36,401.71,16996600
2024-05-07,402.28,407.52,402.04,407.51,20018200
2024-05-08,403.46,405.12,399.7,401.13,11792300
2024-05-09,405.21,405.6,402.04,403.49,14689700
2024-05-10,407.59,408.22,404.7,405.82,13402300
2024-05-13,406.59,411.14,403.74,410.8,15440200
2024-05-14,409.38,410.29,404.45,404.91,15109300
2024-05-15,416.53,417.25,410.81,411.43,22239500
2024-05-16,414.48,418.84,413.85,415.27,17530100
2024-05-17,413.71,416.38,411.56,416.0,15352200
2024-05-20,418.76,420.17,413.49,413.71,16272100
2024-05-21,422.4,426.27,418.28,420.23,21453300
2024-05-22,423.86,425.72,420.52,423.44,18073700
2024-05-23,420.39,426.89,418.84,426.27,17211700
2024-05-24,423.5,424.39,417.84,420.58,11855300
2024-05-28,423.66,424.15,420.0,422.98,15718000
2024-05-29,422.53,424.27,419.1,419.1,15517100
2024-05-30,408.25,417.73,407.83,417.73,28394500
2024-05-31,408.71,410.3,398.25,410.3,47995300
2024-06-03,407.12,409.99,402.59,409.1,17484700
2024-06-04,409.63,410.0,403.34,406.05,14348900
2024-06-05,417.45,417.52,409.86,411.35,16988000
2024-06-06,417.95,418.73,414.07,417.45,14861300
2024-06-07,417.29,419.68,416.46,419.61,13621700
2024-06-10,421.25,421.46,417.33,418.13,13982900
2024-06-11,425.99,426.12,418.67,418.9,14551100
